type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,us-east-1,db.r8g.4xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,1.271940,30.526560,1.271940,30.526560,NSZESU6DQ5X8GGPW
savings,us-east-1,db.r8g.4xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,10479.10,0.000000,0.000000,1.195426,28.690212,NSZESU6DQ5X8GGPW
savings,us-east-1,db.r8g.4xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,5405.10,0.617050,14.809200,1.233648,29.607557,NSZESU6DQ5X8GGPW
savings,us-east-1,db.r7i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.668220,16.037280,0.668220,16.037280,P4KYYC7SX6DF6KNQ
savings,us-east-1,db.r7i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,2840.58,0.324220,7.781280,0.648265,15.558364,P4KYYC7SX6DF6KNQ
savings,us-east-1,db.r7i.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,5507.44,0.000000,0.000000,0.628273,15.078549,P4KYYC7SX6DF6KNQ
savings,us-east-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,49081.92,0.000000,0.000000,1.866375,44.792991,P69S4JVQTVQSCEPN
savings,us-east-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,25585.00,0.000000,0.000000,2.918663,70.047912,P69S4JVQTVQSCEPN
savings,us-east-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,26109.60,0.993472,23.843328,1.986308,47.671391,P69S4JVQTVQSCEPN
savings,us-east-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.509832,84.235968,3.509832,84.235968,P69S4JVQTVQSCEPN
