type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
onDemand,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,,,,3.804000,91.296000,3.804000,91.296000,HCAKEU8MCTR5J86Z
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,3yr,All Upfront,52983.63,0.000000,0.000000,2.014740,48.353758,HCAKEU8MCTR5J86Z
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,3yr,Partial Upfront,27491.51,1.046100,25.106400,2.091484,50.195617,HCAKEU8MCTR5J86Z
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,1yr,All Upfront,24325.82,0.000000,0.000000,2.775019,66.600465,HCAKEU8MCTR5J86Z
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,2.929000,70.296000,2.929000,70.296000,HCAKEU8MCTR5J86Z
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,1yr,Partial Upfront,12496.14,1.426500,34.236000,2.852024,68.448567,HCAKEU8MCTR5J86Z
onDemand,us-east-1,db.x2iezn.2xlarge,multi-az,oracle,byol,,,,6.072000,145.728000,6.072000,145.728000,HS2BGX62Y3H3C33S
onDemand,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,,,,3.804000,91.296000,3.804000,91.296000,J44FR8U527J43EZM
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,3yr,Partial Upfront,27491.51,1.046100,25.106400,2.091484,50.195617,J44FR8U527J43EZM
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,2.929000,70.296000,2.929000,70.296000,J44FR8U527J43EZM
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,1yr,Partial Upfront,12496.14,1.426500,34.236000,2.852024,68.448567,J44FR8U527J43EZM
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,3yr,All Upfront,52983.63,0.000000,0.000000,2.014740,48.353758,J44FR8U527J43EZM
savings,us-east-1,db.x2iedn.xlarge,multi-az,oracle,byol,1yr,All Upfront,24325.82,0.000000,0.000000,2.775019,66.600465,J44FR8U527J43EZM
onDemand,us-east-1,db.x2iezn.12xlarge,multi-az,oracle,byol,,,,36.429000,874.296000,36.429000,874.296000,JCBA63CCFPT3DFN2
savings,us-east-1,db.x2iezn.12xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,26.231000,629.544000,26.231000,629.544000,JCBA63CCFPT3DFN2
savings,us-east-1,db.x2iezn.12xlarge,multi-az,oracle,byol,3yr,Partial Upfront,239358.00,9.108000,218.592000,18.209757,437.034163,JCBA63CCFPT3DFN2
savings,us-east-1,db.x2iezn.12xlarge,multi-az,oracle,byol,3yr,All Upfront,459568.00,0.000000,0.000000,17.475397,419.409537,JCBA63CCFPT3DFN2
savings,us-east-1,db.x2iezn.12xlarge,multi-az,oracle,byol,1yr,All Upfront,217018.00,0.000000,0.000000,24.756788,594.162902,JCBA63CCFPT3DFN2
savings,us-east-1,db.x2iezn.12xlarge,multi-az,oracle,byol,1yr,Partial Upfront,111701.00,12.751200,306.028800,25.493728,611.849471,JCBA63CCFPT3DFN2
onDemand,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,,,,7.608000,182.592000,7.608000,182.592000,JCFR3GZ4M4DHZ9WQ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,1yr,All Upfront,48651.64,0.000000,0.000000,5.550039,133.200931,JCFR3GZ4M4DHZ9WQ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,3yr,Partial Upfront,54983.02,2.092200,50.212800,4.182968,100.391235,JCFR3GZ4M4DHZ9WQ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,3yr,All Upfront,105967.27,0.000000,0.000000,4.029480,96.707525,JCFR3GZ4M4DHZ9WQ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,5.858100,140.594400,5.858100,140.594400,JCFR3GZ4M4DHZ9WQ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,1yr,Partial Upfront,24992.28,2.853000,68.472000,5.704047,136.897133,JCFR3GZ4M4DHZ9WQ
onDemand,us-east-1,db.x2iezn.2xlarge,multi-az,oracle,byol,,,,6.072000,145.728000,6.072000,145.728000,JQWUF5PB3DKSTNXR
savings,us-east-1,db.x2iezn.2xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,4.371800,104.923200,4.371800,104.923200,JQWUF5PB3DKSTNXR
savings,us-east-1,db.x2iezn.2xlarge,multi-az,oracle,byol,3yr,Partial Upfront,39893.00,1.518000,36.432000,3.034959,72.839027,JQWUF5PB3DKSTNXR
savings,us-east-1,db.x2iezn.2xlarge,multi-az,oracle,byol,1yr,All Upfront,36170.00,0.000000,0.000000,4.126169,99.028063,JQWUF5PB3DKSTNXR
savings,us-east-1,db.x2iezn.2xlarge,multi-az,oracle,byol,3yr,All Upfront,76595.00,0.000000,0.000000,2.912579,69.901894,JQWUF5PB3DKSTNXR
savings,us-east-1,db.x2iezn.2xlarge,multi-az,oracle,byol,1yr,Partial Upfront,18617.00,2.125200,51.004800,4.248974,101.975368,JQWUF5PB3DKSTNXR
onDemand,us-east-1,db.x2iezn.6xlarge,multi-az,oracle,byol,,,,18.215000,437.160000,18.215000,437.160000,KAWHZQG87YG4M7BT
savings,us-east-1,db.x2iezn.6xlarge,multi-az,oracle,byol,3yr,Partial Upfront,119679.00,4.554000,109.296000,9.104878,218.517081,KAWHZQG87YG4M7BT
savings,us-east-1,db.x2iezn.6xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,13.115500,314.772000,13.115500,314.772000,KAWHZQG87YG4M7BT
savings,us-east-1,db.x2iezn.6xlarge,multi-az,oracle,byol,3yr,All Upfront,229784.00,0.000000,0.000000,8.737699,209.704768,KAWHZQG87YG4M7BT
savings,us-east-1,db.x2iezn.6xlarge,multi-az,oracle,byol,1yr,Partial Upfront,55850.00,6.375600,153.014400,12.746807,305.923366,KAWHZQG87YG4M7BT
savings,us-east-1,db.x2iezn.6xlarge,multi-az,oracle,byol,1yr,All Upfront,108509.00,0.000000,0.000000,12.378394,297.081451,KAWHZQG87YG4M7BT
onDemand,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,,,,60.864000,1460.736000,60.864000,1460.736000,M92MZSKAUNZCAT92
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,3yr,All Upfront,847738.14,0.000000,0.000000,32.235841,773.660178,M92MZSKAUNZCAT92
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,3yr,Partial Upfront,439864.13,16.737600,401.702400,33.463744,803.129852,M92MZSKAUNZCAT92
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,1yr,Partial Upfront,199938.24,22.824000,547.776000,45.632378,1095.177068,M92MZSKAUNZCAT92
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,46.865200,1124.764800,46.865200,1124.764800,M92MZSKAUNZCAT92
savings,us-east-1,db.x2iedn.16xlarge,multi-az,oracle,byol,1yr,All Upfront,389213.11,0.000000,0.000000,44.400309,1065.607420,M92MZSKAUNZCAT92
onDemand,us-east-1,db.x1e.16xlarge,multi-az,oracle,byol,,,,44.835800,1076.059200,44.835800,1076.059200,MCMS5C4Q3RV4MA4Z
onDemand,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,,,,30.432000,730.368000,30.432000,730.368000,MGNJUEEBT5QKJGXT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,23.432600,562.382400,23.432600,562.382400,MGNJUEEBT5QKJGXT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,1yr,Partial Upfront,99969.12,11.412000,273.888000,22.816189,547.588534,MGNJUEEBT5QKJGXT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,1yr,All Upfront,194606.55,0.000000,0.000000,22.200154,532.803696,MGNJUEEBT5QKJGXT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,3yr,All Upfront,423869.07,0.000000,0.000000,16.117920,386.830089,MGNJUEEBT5QKJGXT
savings,us-east-1,db.x2iedn.8xlarge,multi-az,oracle,byol,3yr,Partial Upfront,219932.06,8.368800,200.851200,16.731872,401.564921,MGNJUEEBT5QKJGXT
onDemand,us-east-1,db.x2iezn.4xlarge,multi-az,oracle,byol,,,,12.143000,291.432000,12.143000,291.432000,NNN7FBJF79KHYSW6
savings,us-east-1,db.x2iezn.4xlarge,multi-az,oracle,byol,1yr,All Upfront,72339.00,0.000000,0.000000,8.252225,198.053388,NNN7FBJF79KHYSW6
