type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,eu-west-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.468200,11.236800,0.468200,11.236800,UVYZ59JT8B45XU9K
onDemand,eu-west-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,,,,0.790000,18.960000,0.790000,18.960000,UYV8PT6MNN7EV5ES
onDemand,eu-west-1,db.r6g.8xlarge,single-az,aurora-postgresql,postgresql,,,,5.957000,142.968000,5.957000,142.968000,VD6GS8JGSWWYNJA4
onDemand,eu-west-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,,,,2.560000,61.440000,2.560000,61.440000,VUYE99F7K482PKPQ
savings,eu-west-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,12352.00,0.000000,0.000000,1.409081,33.817933,VUYE99F7K482PKPQ
savings,eu-west-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,6306.00,0.719800,17.275200,1.439170,34.540087,VUYE99F7K482PKPQ
savings,eu-west-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,1.680000,40.320000,1.680000,40.320000,VUYE99F7K482PKPQ
savings,eu-west-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,24360.00,0.000000,0.000000,0.926306,22.231348,VUYE99F7K482PKPQ
savings,eu-west-1,db.r6i.4xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,12955.00,0.493000,11.832000,0.985623,23.654952,VUYE99F7K482PKPQ
onDemand,eu-west-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,,,,7.138000,171.312000,7.138000,171.312000,VVG5FPXYBTPS6Y29
onDemand,eu-west-1,db.r4.16xlarge,single-az,aurora-postgresql,postgresql,,,,10.240000,245.760000,10.240000,245.760000,VXQRY8P5VBSA8TMX
onDemand,eu-west-1,db.r8g.large,single-az,aurora-postgresql,postgresql,,,,0.304000,7.296000,0.304000,7.296000,W4RUJ4R2E5A3JEKT
savings,eu-west-1,db.r8g.large,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.204000,4.896000,0.204000,4.896000,W4RUJ4R2E5A3JEKT
savings,eu-west-1,db.r8g.large,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,867.00,0.099000,2.376000,0.197905,4.749717,W4RUJ4R2E5A3JEKT
savings,eu-west-1,db.r8g.large,single-az,aurora-postgresql,postgresql,1yr,All Upfront,1682.00,0.000000,0.000000,0.191878,4.605065,W4RUJ4R2E5A3JEKT
onDemand,eu-west-1,db.r6i.8xlarge,single-az,aurora-postgresql,postgresql,,,,5.120000,122.880000,5.120000,122.880000,WB5RN38DGHP5F9JB
savings,eu-west-1,db.r6i.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,12611.00,1.439600,34.550400,2.878227,69.077436,WB5RN38DGHP5F9JB
savings,eu-west-1,db.r6i.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.360000,80.640000,3.360000,80.640000,WB5RN38DGHP5F9JB
savings,eu-west-1,db.r6i.8xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,48720.00,0.000000,0.000000,1.852612,44.462697,WB5RN38DGHP5F9JB
savings,eu-west-1,db.r6i.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,24704.00,0.000000,0.000000,2.818161,67.635866,WB5RN38DGHP5F9JB
savings,eu-west-1,db.r6i.8xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,25911.00,0.986000,23.664000,1.971284,47.310817,WB5RN38DGHP5F9JB
onDemand,eu-west-1,db.r6gd.16xlarge,single-az,aurora-postgresql,postgresql,,,,10.982000,263.568000,10.982000,263.568000,WBAWAD3UX9RK8TYP
savings,eu-west-1,db.r6gd.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,8.456400,202.953600,8.456400,202.953600,WBAWAD3UX9RK8TYP
savings,eu-west-1,db.r6gd.16xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,79370.00,3.020200,72.484800,6.038300,144.919206,WBAWAD3UX9RK8TYP
savings,eu-west-1,db.r6gd.16xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,152967.00,0.000000,0.000000,5.816678,139.600274,WBAWAD3UX9RK8TYP
savings,eu-west-1,db.r6gd.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,70230.00,0.000000,0.000000,8.011636,192.279261,WBAWAD3UX9RK8TYP
savings,eu-west-1,db.r6gd.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,36077.00,4.118400,98.841600,8.233960,197.615043,WBAWAD3UX9RK8TYP
onDemand,eu-west-1,db.r6i.16xlarge,single-az,aurora-postgresql,postgresql,,,,10.240000,245.760000,10.240000,245.760000,WPY6ZCKUA6RBG8CV
savings,eu-west-1,db.r6i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,49408.00,0.000000,0.000000,5.636322,135.271732,WPY6ZCKUA6RBG8CV
savings,eu-west-1,db.r6i.16xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,97440.00,0.000000,0.000000,3.705225,88.925394,WPY6ZCKUA6RBG8CV
savings,eu-west-1,db.r6i.16xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,51822.00,1.971900,47.325600,3.942468,94.619234,WPY6ZCKUA6RBG8CV
savings,eu-west-1,db.r6i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,6.720000,161.280000,6.720000,161.280000,WPY6ZCKUA6RBG8CV
savings,eu-west-1,db.r6i.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,25222.00,2.879300,69.103200,5.756553,138.157273,WPY6ZCKUA6RBG8CV
onDemand,eu-west-1,db.r5.16xlarge,single-az,aurora-postgresql,postgresql,,,,10.240000,245.760000,10.240000,245.760000,WRB28J249V3GQS8J
savings,eu-west-1,db.r5.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,25216.00,2.878500,69.084000,5.755069,138.121645,WRB28J249V3GQS8J
